x1,x2,x3,x4
8.884305512508815283e+00,1.869954137037773467e+00,-2.348077176323068171e-01,1.045962689808375323e+01
1.132576795257291025e+01,-1.090674981762294493e+00,2.764358470855188821e-01,7.761590087371713409e+00
5.914429752937257589e+00,1.156907114609690534e+00,-7.076248741262237019e+00,7.295637952693039274e+00
-2.659059026680414384e+00,-1.552650703812541444e+00,-5.522654183761666502e+00,1.055629202457273941e+01
-9.549330284685101589e+00,-8.410199450659734399e-01,-2.686896113463070002e+00,1.144532886898755919e+01
-9.282637402813515237e+00,6.523959015659115401e-01,3.985963368829584574e+00,1.125359131473630825e+01
-4.240316110193755428e+00,-2.072681718473742496e+00,5.347272655086337423e+00,9.458374179563588058e+00
2.646277854514933470e+00,-3.938704686500393848e-02,2.491670619141175713e+00,6.400665214327138308e+00
7.707378362201414923e+00,-2.488419172471462382e+00,-4.213233630038135114e-01,6.707481864540618233e+00
8.401434734358067757e+00,2.129670004570181518e+00,-3.490353022732458843e+00,5.685632625861089195e+00
4.410324492970347343e+00,6.302991116987266551e-02,-3.692933632817987366e+00,5.826248323487163816e+00
-1.478032036501871760e+00,8.239278767220624689e-01,-2.115402540345233007e+00,7.950195486398416556e+00
-6.820989509857804833e+00,6.459161676194929980e-01,1.321140784953226399e-01,8.145459175619587100e+00
-8.904055026794116756e+00,-1.374248798548908468e+00,3.525119778722692221e+00,9.018173427395780095e+00
-4.210463014244350433e+00,5.327576430147824560e-01,5.596139396929857845e+00,7.315576819232660455e+00
-5.170849326001203394e-03,-1.556032530568400851e+00,4.506443872591765043e+00,3.725661954369084317e+00
4.262116775776370936e+00,-1.488702842607452226e+00,-4.379738739710836715e-01,1.796328889314501520e+00
4.506094462752678886e+00,-6.510381955178107249e-01,-2.139428860869901694e+00,5.236327645203719960e-02
2.756048680506261395e+00,1.100643890116106860e+00,-2.735455303032066965e+00,-3.126256736423588256e-01
1.001633971858794103e+00,1.533176453112347626e-01,-1.855981696964668970e+00,-1.002742237148915638e+00
-2.055379176795623763e+00,5.365787346999736362e-01,-3.285756739481384692e-01,-6.036285957675160407e-01
-4.076781072381239213e+00,1.989323884219786898e-01,4.484295280129935168e-01,-1.501632754335571640e+00
-3.978604662283991900e+00,4.297378409279722922e-02,3.376888507947395368e+00,-4.849302465749760760e-01
-1.909396274512141778e+00,-1.147568282215967739e-01,4.038898163091126925e+00,-1.331809705327971161e+00
4.230873123947128667e-01,8.398881662000581283e-01,2.960542454208008767e+00,-3.620934389919336471e+00
1.871248413215229389e+00,-2.221175155326808037e-01,-1.645670065780720170e+00,-4.029194910321241885e+00
1.531950376315439399e+00,-3.115681484817681701e-01,-1.814789056273790058e+00,-4.650016219513321225e+00
9.706085118167689929e-02,4.874790764234706031e-01,-1.865244339271971086e+00,-3.311381753633147795e+00
1.351463714011800210e-01,1.271723483146699474e+00,-6.677899535872072745e-01,-4.482122825003870048e+00
